"Temp1","Temp2","Temp3","Temp4","L_speed","Slurry","avg","std"
"48","40.5","66.8","103","3.5E-01","54.92",437.6666666666667,4.08248290463863
"48","39.8","70.09999999999999","103","3.5E-01","55.1",439.8333333333333,4.996665554814197
"48","39.8","68.7","102.9","3.5E-01","55.1",439.8333333333333,5.528712930390459
"48","39","69.59999999999999","102.9","3.5E-01","55.1",439.3333333333333,6.15358973824764
"48","39.4","68.90000000000001","103","3.5E-01","55.2",439.3333333333333,6.742897497861484
"48","41","69.09999999999999","103","3.5E-01","55.12",442.3333333333333,9.092121131323903
"48","40.3","69","102.9","3.5E-01","55.02",442.5,9.934787365615835
"48","40.6","69.09999999999999","102.9","3.5E-01","54.9",442.1666666666667,9.174239296348588
"48","40.2","69.2","102.9","3.5E-01","55.06",441.8333333333333,9.907909298467899
"48","40.6","68.8","103","3.5E-01","54.82",441.6666666666667,8.453795991545258
"48.1","39.7","69.40000000000001","103","3.5E-01","54.82",441.3333333333333,9.667816023625329
"48","39.8","68.8","103","3.5E-01","54.86",439.6666666666667,9.750213672872336
"48.1","41.4","68.40000000000001","103.1","3.5E-01","55.16",448.1666666666667,10.4003205078818
"48.1","39.8","68.90000000000001","103","3.5E-01","54.84",447.6666666666667,10.65207335060488
"48","39.9","69.59999999999999","103","3.5E-01","54.8",443.5,7.635443667528429
"48","40.4","67.2","103.1","3.5E-01","55.02",440.5,9.027735042633895
"48","40.5","69.59999999999999","102.9","3.5E-01","54.84",439.5,8.848728722251575
"48","40.9","68.59999999999999","103.1","3.5E-01","54.92",441.1666666666667,8.773064838850027
"48","40.8","70.5","103.1","3.5E-01","55",440.1666666666667,9.064583093924764
"48","41.1","68.8","103","3.5E-01","55.04",439.8333333333333,9.621157241551904
"48","40.5","69.90000000000001","103","3.5E-01","55.08",443.5,11.27386357909302
"48","39.1","70","103","3.5E-01","54.88",435.8333333333333,7.277820186475251
"48","39.1","68","103.1","3.5E-01","54.72",439,4.289522117905444
"48","40.1","67.40000000000001","102.9","3.5E-01","42.58",436.8333333333333,4.400757510550504
"50.1","40.6","70.90000000000001","105.1","3.5E-01","54.94",444.8333333333333,4.490731195102494
"50","41.4","69.3","105.1","3.5E-01","55.12",443.8333333333333,5.076087732365022
"50","41.8","72.2","105","3.5E-01","55.08",444,4.560701700396552
"50","42.3","69.90000000000001","105.1","3.5E-01","54.96",444.5,4.636809247747852
"50.1","42","68.8","105","3.5E-01","55.04",444.8333333333333,5.344779384283945
"50","42.4","68.09999999999999","103.1","3.5E-01","55.1",445,5.585696017507576
"50","42.1","67.7","103","3.5E-01","54.92",445.3333333333333,7.118052168020874
"49.8","42.9","68.3","104.6","3.5E-01","55.02",442.8333333333333,4.215052391924289
"50","43.2","68","105.1","3.5E-01","55.06",442.5,5.683308895353129
"50","43.5","71.2","104.9","3.5E-01","55.02",441.5,6.59545297913646
"48.1","44.4","68.09999999999999","103","3.5E-01","55.04",441.3333333333333,7.737355275975548
"48","44.1","68","103","3.5E-01","55.1",441.8333333333333,4.956477243634502
"48","43.3","68","103","3.5E-01","55",442,4.939635614091388
"48.1","40.7","68.3","102.9","3.5E-01","54.98",441.6666666666667,5.573747990954261
"48","40.3","69.09999999999999","103.1","3.5E-01","54.92",443.6666666666667,4.501851470969102
"48","39.7","67.7","102.9","3.5E-01","54.94",444.3333333333333,5.955389715767278
"48","39.1","70.90000000000001","102.9","3.5E-01","55.02",443.1666666666667,6.242328625334192
"48","41","68.09999999999999","102.9","3.5E-01","54.96",443.3333333333333,6.683312551921141
"48","40.4","68","103.2","3.5E-01","54.92",443.5,4.593473631142341
"48","40.2","67.40000000000001","103","3.5E-01","55.06",443.3333333333333,6.153589738247641
"48","39.6","68.09999999999999","102.9","3.5E-01","55.04",440,5.215361924162119
"48","39.2","67.90000000000001","103.1","3.5E-01","54.92",438.8333333333333,7.11102430502573
"48","39.7","68.2","103","3.5E-01","54.98",440,5.761944116355173
"48","39.7","67.90000000000001","102.9","3.5E-01","54.94",439,6.899275324264136
"48","39.5","68.09999999999999","103.2","3.5E-01","54.92",440.1666666666667,5.671566509057852
"48","39.1","68.7","103","3.5E-01","54.96",439.5,5.958187643906492
"48.1","39.2","68","103","3.5E-01","54.94",437.1666666666667,8.207719943240427
